48672.2,17102.51,14623.55,11968.37,43125,628,-491,333,-5280,4844,16460,P
48672.2,17035.49,14566.47,11968.37,43125,-1465,-522,-1064,-4844,5324,16840,P
48937.5,17035.49,14566.47,12015.85,42687.97,-365,-88,-662,-5408,5240,16900,P
48672.2,16968.75,14566.47,12063.49,42257.46,298,-191,-377,-5200,5020,16632,P
48409.09,17035.49,14566.47,12063.49,42257.46,111,-217,-348,-5412,5252,16800,P
48148.15,16968.75,14566.47,12063.49,42687.97,379,-132,-245,-5260,5272,16888,P
47889.34,16968.75,14566.47,12015.85,42044.61,-256,-228,-437,-5508,5488,16572,P
48148.15,16968.75,14566.47,12063.49,41833.33,226,-553,-164,-5552,5720,16852,P
48148.15,17035.49,14509.62,12015.85,41833.33,17,-1274,105,-5992,5624,16144,P
61725,17858.67,14509.62,11640.63,39031.69,48,11,-440,-4952,5240,15884,P
64097.94,18286.34,13575.42,11686.96,38842.11,-692,508,-227,-5692,5456,16124,P
61725,18000,13735.96,11733.45,38281.25,489,-578,-295,-5608,5552,16640,P
62500,18071.12,14680.85,11733.45,39222.61,-161,-284,-536,-5624,5940,15648,P
62110.55,18000,14738.37,11733.45,39608.54,193,-78,-201,-5760,5964,16436,P
61725,17858.67,12900,11733.45,39414.89,-25,-247,-83,-5476,5668,16440,P
60591.13,17788.46,13053.01,11733.45,41003.65,15,-718,-263,-5380,5756,16676,P
59853.66,17788.46,13104.4,11780.1,41208.79,505,-109,14,-4836,5212,16440,P
60220.59,17788.46,13053.01,11780.1,42471.91,202,-542,-223,-5368,5656,16736,P
60220.59,17718.55,13104.4,11826.92,40397.11,-22,-229,-418,-5028,5712,16360,P
59490.29,17648.94,14738.37,11780.1,40597.83,310,-62,-176,-5884,5836,17000,P
59130.43,17648.94,14680.85,11826.92,40000,-610,-632,-687,-5264,6976,16512,P
59130.43,17718.55,14738.37,11921.05,40197.84,-959,730,1099,-4836,5132,16072,P
58421.05,17579.62,14738.37,11826.92,40397.11,-597,-474,247,-5844,5960,15504,P
57725.12,17648.94,14738.37,11968.37,39608.54,-615,1545,3695,-5172,6328,15440,P
57382.08,17718.55,14796.12,12063.49,39608.54,2495,1773,1932,-6768,4160,20048,P
58421.05,17510.59,14796.12,11873.91,40800,-1660,1331,-300,-4876,6428,16140,P
